type,identifier,parents,relation_from,relation_to,name_en,name_de,definition_en,example_en,note_en,synonyms_en,synonyms_de,links,is_inverse_of,is_disjoint_with
# prefix,cx,,,,,,,,,,,,,
# namespace,https://raw.githubusercontent.com/catenax-ng/product-knowledge/main/ontology/cx_ontology.ttl#,,,,,,,,,,,,,
# title,common ontology,,,,,,,,,,,,,
# version,0.0.1,,,,,,,,,,,,,
# author,Zazralt Magic,,,,,,,,,,,,,
# contributor,,,,,,,,,,,,,,
# description,"The Catena-X common ontology contains all domain-independent classes, attributes and relations.",,,,,,,,,,,,,
# import,,,,,,,,,,,,,,
attribute,global unique identifier,,,xsd:string,,Globally Unique Identifier,,"global unique identifier (GUID), universally unique identifier (UUID)",,,,https://en.wikipedia.org/wiki/Universally_unique_identifier,,
attribute,name,,,xsd:string,,Name,,"serial number, part number",top level attribute,,"Benennung, Bezeichnung","https://en.wikipedia.org/wiki/Name, https://schema.org/name",,
attribute,code,,,xsd:string,,Code,not source code,,top level attribute,,"Kürzel, Kurzzeichen",https://en.wikipedia.org/wiki/Code,,
attribute,number,,,xsd:string,,Nummer,A number for identification.,"serial number, part number",top level attribute,,,,,
attribute,serial number,,,xsd:string,,Seriennummer,"A unique identifier assigned incrementally or sequentially to an item, to uniquely identify it.",,,,,"https://en.wikipedia.org/wiki/Serial_number, https://schema.org/serialNumber",,
attribute,type,,,xsd:string,,Typ,,,top level attribute,,,https://schema.org/additionalType,,
attribute,category,,,xsd:string,,Kategorie,,,,,,,,
attribute,kind,,,xsd:string,,Art,,,,,,,,
attribute,class,,,xsd:string,,Klasse,,,,,,,,
attribute,date,,,xsd:date,,Datum,"""YYYY-MM-DD""","„2002-09-24""",top level attribute,,,https://schema.org/Date,,
attribute,date time,,,"xsd:dateTime, xsd:dateTimeStamp",,Zeitpunkt,"""hh:mm:ss""","„2002-09-24-06:00""",top level attribute,,,https://schema.org/DateTime,,
attribute,start date,,,xsd:date,,Startdatum,,,,,,https://schema.org/startDate,,
attribute,end date,,,xsd:date,,Enddatum,,,,,,https://schema.org/endDate,,
attribute,start time,,,xsd:dateTime,,Startzeitpunkt,,,,,,https://schema.org/startTime,,
attribute,end time,,,xsd:dateTime,,Endzeitpunkt,,,,,,https://schema.org/endTime,,
attribute,title,,,xsd:string,,Titel,,,top level attribute,,,https://schema.org/title,,
attribute,description,,,xsd:string,,Beschreibung,,,top level attribute,,,"https://en.wikipedia.org/wiki/Definite_description, https://schema.org/description",,
attribute,text,,,xsd:string,,text,,,top level attribute,,,https://schema.org/Text,,
attribute,numeric,,,"xsd:float, xsd:double, xsd:decimal",,Numerische Zahl,,,top level attribute,,,"https://schema.org/Number, https://schema.org/Float",,
attribute,integer,,,"xsd:integer, xsd:int, xsd:long",,Ganze Zahl,,,top level attribute,,,https://schema.org/Integer,,
attribute,boolean,,,xsd:boolean,Bool,Bool,,,top level attribute,,,https://schema.org/Boolean,,
attribute,url,,,xsd:anyURI,URL,URL,,,top level attribute,,,https://schema.org/URL,,
attribute,latitude,,place,xsd:float,,,The latitude of a location.,37.42242,,,,https://schema.org/latitude,,
attribute,longitude,,place,xsd:float,,,The longitude of a location.,-122.08585,,,,https://schema.org/longitude,,
attribute,version,,,xsd:string,,,,,,,,https://schema.org/version,,
class,unit,immaterial thing,,,,,,,,,,"https://schema.org/unitText, https://schema.org/unitCode",,
class,system of measurement,immaterial thing,,,,Einheitensystem,,,,,,https://en.wikipedia.org/wiki/System_of_measurement,,
class,international system,system of measurement,,,,,,,,"si system, international system of units",SI System,https://en.wikipedia.org/wiki/International_System_of_Units,,
class,si base unit,unit,,,,,,,,,,https://en.wikipedia.org/wiki/International_System_of_Units#SI_base_units,,
class,si derived unit,unit,,,,,,,,,,https://en.wikipedia.org/wiki/International_System_of_Units#SI_derived_units,,
si base unit,second,,,,,,,,"time, duration",s,,https://en.wikipedia.org/wiki/Second,,
si base unit,metre,,,,,,,,length,m,,https://en.wikipedia.org/wiki/Metre,,
si base unit,kilogram,,,,,,,,mass,kg,,https://en.wikipedia.org/wiki/Kilogram,,
si base unit,ampere,,,,,,,,electric current,A,,https://en.wikipedia.org/wiki/Ampere,,
si base unit,kelvin,,,,,,,,thermodynamic temperature,K,,https://en.wikipedia.org/wiki/Kelvin,,
si base unit,mole,,,,,,,,amount of substance,mol,,https://en.wikipedia.org/wiki/Mole_(unit),,
si base unit,candela,,,,,,,,luminous intensity,cd,,https://en.wikipedia.org/wiki/Candela,,
si derived unit,radian,,,,,,,,plane angle,rad,,,,
si derived unit,steradian,,,,,,,,solid angle,sr,,,,
si derived unit,hertz,,,,,,,,frequency,Hz,,,,
si derived unit,newton,,,,,,,,"force, weight",N,,,,
si derived unit,pascal,,,,,,,,"pressure, stress",Pa,,,,
si derived unit,joule,,,,,,,,"energy, work, heat",J,,,,
si derived unit,watt,,,,,,,,"power, radiant flux",W,,,,
si derived unit,coulomb,,,,,,,,electric charge,C,,,,
