type,identifier,parents,relation_from,relation_to,name_en,name_de,definition_en,example_en,note_en,synonyms_en,synonyms_de,links
# prefix,cx,,,,,,,,,,,
# namespace,https://raw.githubusercontent.com/catenax-ng/product-knowledge/main/ontology/cx_ontology.ttl#,,,,,,,,,,,
# title,vehicle ontology,,,,,,,,,,,
# version,0.0.1,,,,,,,,,,,
# author,Zazralt Magic,,,,,,,,,,,
# contributor,"Rolf Bosse, Jörg Schulz",,,,,,,,,,,
# description,Ontology for vehicles in the automotive industry.,,,,,,,,,,,
# import,common ontology,,,,,,,,,,,
# import,part ontology,,,,,,,,,,,
EU vehicle class,M,,,,motor vehicle,,"min 4 wheels (car, bus, camper)",,,carriage of passengers,Personenbeförderung,
EU vehicle class,M1,,,,car,,"max 9 passengers (car, camper)",,,,Automobile und Wohnmobile,
EU vehicle class,M2,,,,small bus,,"> 9 passengers, max 5 t",,,,,
EU vehicle class,M3,,,,large bus,,"> 9 passengers, > 5 t",,,,,
EU vehicle class,N,,,,truck,,min 4 wheels,,,carriage of goods,Güterbeförderung,
EU vehicle class,N1,,,,small truck,,max 3.5 t,,,,,https://en.wikipedia.org/wiki/Light_commercial_vehicle
EU vehicle class,N2,,,,medium truck,,> 3.5 t and < 12 t,,,,,https://en.wikipedia.org/wiki/Large_goods_vehicle
EU vehicle class,N3,,,,large truck,,> 12 t,,,,,https://en.wikipedia.org/wiki/Large_goods_vehicle
EU vehicle class,O,,,,trailer,Anhänger,,,,,,
EU vehicle class,G,,,,off-road,Geländewagen,max 9 passengers,,,,,
class,US truck class,classification,,,,,commercial truck classification is determined based on the vehicle's gross vehicle weight rating (GVWR),,,,,https://en.wikipedia.org/wiki/Truck_classification
US truck class,1.0,,,,,,< 6 klbs (2.7 t),,,,,
US truck class,2.0,,,,,,< 10 klbs (4.5 t),,,,,
US truck class,3.0,,,,,,< 14 klbs (6.4 t),,,,,
US truck class,4.0,,,,,,< 16 klbs (7.3 t),,,,,
US truck class,5.0,,,,,,< 19.5 klbs (8.8 t),,,,,
US truck class,6.0,,,,,,< 26 klbs (11.8 t),,,,,
US truck class,7.0,,,,,,< 33 klbs (15 t),,,,,
US truck class,8.0,,,,,,> 33 klbs (15 t),,,,,
class,EU driving licence class,classification,,,,,,,,,,"https://en.wikipedia.org/wiki/European_driving_licence, https://de.wikipedia.org/wiki/Führerschein_(EU-Recht)"
EU driving licence class,AM,,,,moped,Kleinkraftrad,"< 4kW, < 50 ccm, < 45 km/h",,moped,,,
EU driving licence class,A1,,,,motorcycle,Kraftrad,"< 11kW, > 50 ccm, < 125 ccm",,motorcycle,,,
EU driving licence class,A2,,,,motorcycle,Leichtkraftrad,< 35kW,,motorcycle,,,
EU driving licence class,A,,,,motorcycle,Kraftrad,"> 15 kW, > 50 ccm",,motorcycle,,,
EU driving licence class,B1,,,,car,Kraftfahrzeug,< 550 t,,general motor vehicle,,,
EU driving licence class,B,,,,car,Kraftfahrzeug,"< 3.5 t, < 10 passengers",,general motor vehicle,,,
EU driving licence class,C1,,,,truck,Kraftfahrzeug,"< 7.5 t, < 10 passengers",,large goods vehicle,,,
EU driving licence class,C,,,,truck,Kraftfahrzeug,"> 7.5 t, < 10 passengers",,large goods vehicle,,,
EU driving licence class,D1,,,,bus,Omnibus,"< 17 passengers, < 8 m",,large passenger vehicle,,,
EU driving licence class,D,,,,bus,Omnibus,> 9 passengers,,large passenger vehicle,,,
class,ACRISS category,classification,,,,,,,,Association of Car Rental Industry Systems Standards (ACRISS),,"https://en.wikipedia.org/wiki/Association_of_Car_Rental_Industry_Systems_Standards, https://de.wikipedia.org/wiki/Mietwagenklassifizierung, https://schema.org/acrissCode"
ACRISS category,M,,,,Mini,,,,,,,
ACRISS category,N,,,,Mini Elite,,,,,,,
ACRISS category,E,,,,Economy,,,,,,,
ACRISS category,H,,,,Economy Elite,,,,,,,
ACRISS category,C,,,,Compact,,,,,,,
ACRISS category,D,,,,Compact Elite,,,,,,,
ACRISS category,I,,,,Intermediate,,,,,,,
ACRISS category,J,,,,Intermediate Elite,,,,,,,
ACRISS category,S,,,,Standard,,,,,,,
ACRISS category,R,,,,Standard Elite,,,,,,,
ACRISS category,F,,,,Fullsize,,,,,,,
ACRISS category,G,,,,Fullsize Elite,,,,,,,
ACRISS category,P,,,,Premium,,,,,,,
ACRISS category,U,,,,Premium Elite,,,,,,,
ACRISS category,L,,,,Luxury,,,,,,,
ACRISS category,W,,,,Luxury Elite,,,,,,,
ACRISS category,O,,,,Oversize,,,,,,,
ACRISS category,X,,,,Special,,,,,,,
