type,identifier,parents,relation_from,relation_to,name_en,name_de,definition_en,example_en,note_en,synonyms_en,synonyms_de,links
# prefix,cx,,,,,,,,,,,
# namespace,https://raw.githubusercontent.com/catenax-ng/product-knowledge/main/ontology/cx_ontology.ttl#,,,,,,,,,,,
# title,vehicle information ontology,,,,,,,,,,,
# version,0.0.1,,,,,,,,,,,
# author,Zazralt Magic,,,,,,,,,,,
# contributor,"Rolf Bosse, Jörg Schulz",,,,,,,,,,,
# description,The vehicle information ontology contains the product master data.,,,,,,,,,,,
# import,common ontology,,,,,,,,,,,
# import,vehicle ontology,,,,,,,,,,,
class,vehicle cargo information,vehicle information,,,,,,,,,,
relation,has vehicle cargo,,vehicle,vehicle cargo information,,,,,,,,
attribute,passenger volume,,vehicle cargo information,xsd:double,,,,,in liters,,,
attribute,trunk volume,,vehicle cargo information,xsd:double,,,,,in liters,trunk capacity,,
attribute,cargo volume,,vehicle cargo information,xsd:double,,,"The available volume for cargo or luggage. For automobiles, this is usually the trunk volume.",500.0,in liters,cargo capacity,,https://schema.org/cargoVolume
attribute,max payload,,vehicle cargo information,xsd:double,,,"The permitted weight of passengers and cargo, EXCLUDING the weight of the empty vehicle.",100.0,in kilogramms,,,https://schema.org/payload
attribute,tongue weight,,vehicle cargo information,xsd:double,,Anhängelast,The permitted vertical load (TWR) of a trailer attached to the vehicle. Also referred to as Tongue Load Rating (TLR) or Vertical Load Rating (VLR),,in kilogramms,,,"https://schema.org/tongueWeight, https://de.wikipedia.org/wiki/Anh%C3%A4ngelast"
attribute,trailer weight,,vehicle cargo information,xsd:double,,,The permitted weight of a trailer attached to the vehicle.,,in kilogramms,,,https://schema.org/trailerWeight
attribute,weight total,,vehicle cargo information,xsd:double,,,"The permitted total weight of the loaded vehicle, including passengers and cargo and the weight of the empty vehicle.",,in kilogramms,,,https://schema.org/weightTotal
attribute,max axle load,,vehicle cargo information,xsd:double,,max. Achslast,,,in kilogramms,,,https://en.wikipedia.org/wiki/Axle_load
attribute,max towing capacity,,vehicle cargo information,xsd:double,,Anhängelast ,,1300.0,in kilogramms,,,https://de.wikipedia.org/wiki/Anh%C3%A4ngelast
